TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t0,1.0,0,87,783,40,57,e0
t1,2.0,1,30,113,10,60,e0
t2,3.0,2,80,402,30,30,e0
t3,4.0,3,75,319,40,81,e0
t4,5.0,4,14,277,30,35,e0
t5,7.0,5,23,801,20,68,e0
t6,8.0,6,42,665,10,79,e0
t7,8.0,7,24,113,30,88,e0
t8,8.0,8,55,379,40,21,e0
t9,8.0,9,19,519,10,60,e0
t10,8.0,10,97,817,30,27,e0
t11,12.0,11,88,756,40,53,e0
t12,13.0,12,29,605,10,22,e0
t13,14.0,13,58,149,30,92,e0
t14,15.0,14,21,932,10,40,e0
t15,15.0,15,70,932,30,24,e0
t16,15.0,16,31,499,20,95,e0
t17,18.0,17,98,242,10,24,e0
t18,22.0,18,60,241,30,33,e0
t19,29.0,19,33,555,20,85,e0
t20,30.0,20,76,787,30,86,e0
t21,31.0,21,64,892,30,85,e0
t22,32.0,22,59,268,40,93,e0
t23,32.0,23,27,775,30,33,e0
t24,34.0,24,65,584,40,59,e0
t25,34.0,25,77,993,10,73,e0
t26,39.0,26,75,272,40,35,e0
t27,40.0,27,73,468,10,44,e0
t28,41.0,28,52,913,20,62,e0
t29,42.0,29,60,890,20,46,e0
t30,42.0,30,76,125,20,63,e0
t31,42.0,31,71,731,10,98,e0
t32,43.0,32,60,755,10,64,e0
t33,43.0,33,69,118,30,46,e0
t34,45.0,34,90,906,20,59,e0
t35,45.0,35,17,921,30,32,e0
t36,47.0,36,40,631,20,50,e0
t37,47.0,37,78,780,40,88,e0
t38,49.0,38,91,948,40,68,e0
t39,49.0,39,13,302,30,90,e0
t40,50.0,40,55,895,30,48,e0
t41,50.0,41,75,224,30,83,e0
t42,51.0,42,54,824,10,58,e0
t43,51.0,43,23,915,20,77,e0
t44,52.0,44,90,984,30,27,e0
t45,52.0,45,86,650,40,61,e0
t46,53.0,46,28,716,10,35,e0
t47,53.0,47,64,806,20,90,e0
t48,57.0,48,92,845,40,29,e0
t49,57.0,49,16,125,30,80,e0
t50,59.0,50,74,924,30,32,e0
t51,59.0,51,37,402,40,43,e0
t52,59.0,52,42,629,30,25,e0
t53,59.0,53,46,377,40,27,e0
t54,59.0,54,73,890,30,30,e0
t55,60.0,55,79,439,20,67,e0
t56,60.0,56,88,724,30,62,e0
t57,60.0,57,51,994,20,55,e0
